case,fold,N_GT_star,N_GT_minus_omission,N_GT_minus_drift_neg,N_GT_minus_drift_pos,N_M0_Star,N_M1_Omission,N_M2_Drift_mu0
PARSE_0001.nii.gz,3,1,18,98,22,72,82,104
PARSE_0002.nii.gz,4,1,12,107,32,97,98,92
PARSE_0003.nii.gz,0,1,11,86,18,45,52,49
PARSE_0004.nii.gz,3,1,8,81,19,55,70,70
PARSE_0005.nii.gz,0,1,13,109,21,67,55,67
PARSE_0006.nii.gz,3,1,14,81,22,79,62,53
PARSE_0007.nii.gz,0,1,12,74,15,44,56,58
PARSE_0008.nii.gz,4,1,17,80,11,80,75,64
PARSE_0009.nii.gz,2,1,15,69,8,49,37,48
PARSE_0010.nii.gz,1,1,19,123,32,54,58,45
PARSE_0011.nii.gz,4,1,18,104,26,93,93,117
PARSE_0012.nii.gz,4,1,11,61,12,66,74,66
PARSE_0013.nii.gz,2,1,19,24,4,52,50,55
PARSE_0014.nii.gz,0,1,9,73,18,80,79,76
PARSE_0015.nii.gz,4,1,24,58,11,79,77,86
PARSE_0016.nii.gz,3,1,12,133,30,128,121,134
PARSE_0017.nii.gz,2,1,23,141,33,74,67,76
PARSE_0018.nii.gz,3,1,10,88,25,88,99,93
PARSE_0019.nii.gz,1,1,19,217,45,60,70,64
PARSE_0020.nii.gz,2,1,15,132,30,82,115,95
PARSE_0021.nii.gz,0,1,11,79,17,81,78,64
PARSE_0022.nii.gz,1,1,24,46,13,69,61,57
PARSE_0023.nii.gz,1,1,26,51,15,76,70,71
PARSE_0024.nii.gz,4,1,26,166,32,108,97,113
PARSE_0025.nii.gz,2,1,30,105,21,84,97,104
PARSE_0026.nii.gz,1,1,9,186,38,88,65,66
PARSE_0027.nii.gz,0,1,33,99,20,88,106,89
PARSE_0028.nii.gz,3,1,18,132,35,99,91,103
PARSE_0029.nii.gz,1,1,33,99,15,45,57,53
PARSE_0030.nii.gz,4,1,18,184,43,121,146,152
PARSE_0031.nii.gz,1,1,10,41,8,47,65,60
PARSE_0032.nii.gz,3,1,32,65,10,117,108,116
PARSE_0033.nii.gz,2,1,17,85,22,93,108,116
PARSE_0034.nii.gz,3,1,18,119,24,53,67,53
PARSE_0035.nii.gz,4,1,12,107,19,85,109,95
PARSE_0036.nii.gz,0,1,22,117,29,59,54,82
PARSE_0037.nii.gz,4,1,12,49,12,54,59,70
PARSE_0038.nii.gz,1,1,14,81,25,51,69,60
PARSE_0039.nii.gz,4,1,11,187,37,163,171,160
PARSE_0040.nii.gz,0,1,5,308,72,109,123,99
PARSE_0041.nii.gz,1,1,18,94,18,46,48,45
PARSE_0042.nii.gz,4,1,22,100,35,128,137,138
PARSE_0043.nii.gz,0,1,13,88,18,75,84,82
PARSE_0044.nii.gz,4,1,19,102,23,105,87,78
PARSE_0045.nii.gz,2,1,11,143,45,77,69,68
PARSE_0046.nii.gz,0,1,6,75,18,85,90,86
PARSE_0047.nii.gz,2,1,22,76,17,83,58,54
PARSE_0048.nii.gz,3,1,19,100,28,70,95,115
PARSE_0049.nii.gz,2,1,9,210,54,86,56,71
PARSE_0050.nii.gz,2,1,35,101,31,82,89,93
PARSE_0051.nii.gz,2,1,38,169,28,56,48,46
PARSE_0052.nii.gz,3,1,24,129,28,84,77,83
PARSE_0053.nii.gz,1,1,30,104,22,105,97,96
PARSE_0054.nii.gz,2,1,11,200,45,100,130,121
PARSE_0055.nii.gz,0,1,21,156,39,89,78,74
PARSE_0056.nii.gz,3,1,37,192,46,153,163,150
PARSE_0057.nii.gz,3,1,20,115,23,104,127,126
PARSE_0058.nii.gz,0,1,9,235,46,97,96,80
PARSE_0059.nii.gz,0,1,14,419,110,167,164,168
PARSE_0060.nii.gz,4,1,22,152,39,89,75,85
PARSE_0061.nii.gz,0,1,21,124,34,99,93,81
PARSE_0062.nii.gz,3,1,4,109,15,77,89,95
PARSE_0063.nii.gz,2,1,32,77,19,45,79,78
PARSE_0064.nii.gz,1,1,12,318,92,87,82,67
PARSE_0065.nii.gz,1,1,15,106,30,82,67,81
PARSE_0066.nii.gz,1,1,18,65,16,96,81,106
PARSE_0067.nii.gz,0,1,12,68,14,61,84,71
PARSE_0068.nii.gz,2,1,14,156,26,50,42,47
PARSE_0069.nii.gz,0,1,16,79,20,96,103,92
PARSE_0070.nii.gz,3,1,34,214,61,74,85,77
PARSE_0071.nii.gz,2,1,30,94,18,95,96,75
PARSE_0072.nii.gz,1,1,24,156,29,109,100,77
PARSE_0073.nii.gz,1,1,19,74,17,43,44,43
PARSE_0074.nii.gz,4,1,28,131,27,83,58,71
PARSE_0075.nii.gz,3,1,15,164,57,102,148,136
PARSE_0076.nii.gz,2,1,12,111,18,59,55,66
PARSE_0077.nii.gz,3,1,18,108,33,61,68,59
PARSE_0078.nii.gz,1,1,24,172,38,50,51,61
PARSE_0079.nii.gz,0,1,34,114,24,182,156,138
PARSE_0080.nii.gz,4,1,10,181,52,66,73,96
PARSE_0081.nii.gz,2,1,17,223,41,38,44,38
PARSE_0082.nii.gz,1,1,14,53,19,86,80,79
PARSE_0083.nii.gz,3,1,34,52,11,116,109,92
PARSE_0084.nii.gz,4,1,16,51,14,67,88,85
PARSE_0085.nii.gz,4,1,20,104,35,86,65,78
