case,idx,source,config,family,r,p,mu,axis,clDice,NSD@0.5,HD95,Betti0
PARSE_0001.nii.gz,0,study,omission,distal_omission,2,0.3,0.0,clDice,0.832123593260971,0.9009855025248412,0.0,17
PARSE_0001.nii.gz,0,study,drift_neg,boundary_drift,1,0.5,-0.5,NSD@0.5,0.9595901096422964,0.8765974028950958,0.0,97
PARSE_0001.nii.gz,0,study,drift_pos,boundary_drift,1,0.5,0.5,NSD@0.5,0.9869202254408728,0.8704614980121015,0.0,21
PARSE_0001.nii.gz,0,grid,distal_omission_r1_p0.5_mu+0.0,distal_omission,1,0.5,0.0,clDice,0.9057215948087601,0.956172054352547,0.0,62
PARSE_0001.nii.gz,0,grid,distal_omission_r2_p0.3_mu+0.0,distal_omission,2,0.3,0.0,clDice,0.8700470330519942,0.9195490771475762,0.0,17
PARSE_0001.nii.gz,0,grid,distal_omission_r3_p0.3_mu+0.0,distal_omission,3,0.3,0.0,clDice,0.84443565922119,0.8861823873656214,1.93359375,3
PARSE_0001.nii.gz,0,grid,boundary_drift_r1_p0.5_mu-1.0,boundary_drift,1,0.5,-1.0,NSD@0.5,0.9393156326284627,0.8315388306584338,0.64453125,145
PARSE_0001.nii.gz,0,grid,boundary_drift_r1_p0.5_mu-0.5,boundary_drift,1,0.5,-0.5,NSD@0.5,0.9617429940676168,0.8820152646030476,0.0,98
PARSE_0001.nii.gz,0,grid,boundary_drift_r1_p0.5_mu+0.0,boundary_drift,1,0.5,0.0,NSD@0.5,0.976327292297794,0.8974304993850484,0.0,58
PARSE_0001.nii.gz,0,grid,boundary_drift_r1_p0.5_mu+0.5,boundary_drift,1,0.5,0.5,NSD@0.5,0.9843099491984961,0.8723425420645748,0.0,24
PARSE_0001.nii.gz,0,grid,boundary_drift_r1_p0.5_mu+1.0,boundary_drift,1,0.5,1.0,NSD@0.5,0.9869419977791217,0.8173324731270887,0.64453125,4
PARSE_0002.nii.gz,1,study,omission,distal_omission,2,0.3,0.0,clDice,0.8470504281636537,0.9085921362859798,0.0,11
PARSE_0002.nii.gz,1,study,drift_neg,boundary_drift,1,0.5,-0.5,NSD@0.5,0.9599852750038895,0.8801324300766137,0.0,106
PARSE_0002.nii.gz,1,study,drift_pos,boundary_drift,1,0.5,0.5,NSD@0.5,0.984077800188445,0.866515212637211,0.0,31
PARSE_0002.nii.gz,1,grid,distal_omission_r1_p0.5_mu+0.0,distal_omission,1,0.5,0.0,clDice,0.8839511858162561,0.9466843823611258,0.0,80
PARSE_0002.nii.gz,1,grid,distal_omission_r2_p0.3_mu+0.0,distal_omission,2,0.3,0.0,clDice,0.8884302258915262,0.9330654894238709,0.0,12
PARSE_0002.nii.gz,1,grid,distal_omission_r3_p0.3_mu+0.0,distal_omission,3,0.3,0.0,clDice,0.8170835875533862,0.8712220045556175,3.9495143157201147,3
PARSE_0002.nii.gz,1,grid,boundary_drift_r1_p0.5_mu-1.0,boundary_drift,1,0.5,-1.0,NSD@0.5,0.9268498774215634,0.8360547984495815,0.60546875,203
PARSE_0002.nii.gz,1,grid,boundary_drift_r1_p0.5_mu-0.5,boundary_drift,1,0.5,-0.5,NSD@0.5,0.9545576883487661,0.8821963407163689,0.0,142
PARSE_0002.nii.gz,1,grid,boundary_drift_r1_p0.5_mu+0.0,boundary_drift,1,0.5,0.0,NSD@0.5,0.9755576059767896,0.8973895120811987,0.0,80
PARSE_0002.nii.gz,1,grid,boundary_drift_r1_p0.5_mu+0.5,boundary_drift,1,0.5,0.5,NSD@0.5,0.9867485508993208,0.8742948233197357,0.0,21
