source,config,family,r,p,mu,axis,n,matched_mean,matched_ci_low,matched_ci_high,matched_sd,matched_median,frac_cases_in_window,mean_in_window,matched_mean_first8,clDice_mean,NSD@0.5_mean,HD95_mean,Betti0_mean
study,omission,distal_omission,2,0.3,0.0,clDice,85,0.8792509184807334,0.8722050211155798,0.8858070985870617,0.03233867287871919,0.8799063597346859,0.5058823529411764,True,0.8793283225810602,0.8792509184807334,0.9209368498525006,0.13193548303352756,17.50588235294118
study,drift_neg,boundary_drift,1,0.5,-0.5,NSD@0.5,85,0.8881791379234857,0.8861364362561909,0.8903703172532249,0.009970735627162374,0.8871260793197138,0.8352941176470589,True,0.8832639416752757,0.961822894070273,0.8881791379234857,0.054871323529411764,120.28235294117647
study,drift_pos,boundary_drift,1,0.5,0.5,NSD@0.5,85,0.8762705379970731,0.8738483725793432,0.8787582765513023,0.011581367780169329,0.8749139838710476,1.0,True,0.8720599529190521,0.9858587737628882,0.8762705379970731,0.19896599264705883,27.4
grid,distal_omission_r1_p0.5_mu+0.0,distal_omission,1,0.5,0.0,clDice,85,0.902074978100918,0.8949130282460835,0.9088990824805961,0.03342241321522696,0.9063291139240507,0.3411764705882353,False,0.9044685213821797,0.902074978100918,0.9508955205507574,0.01636029411764706,78.7764705882353
grid,distal_omission_r2_p0.3_mu+0.0,distal_omission,2,0.3,0.0,clDice,85,0.884035986742901,0.878219825214794,0.888741054094333,0.02451018006759667,0.887866042377589,0.6470588235294118,True,0.8723901274272454,0.884035986742901,0.9235739859907934,0.17115336326573677,16.96470588235294
grid,distal_omission_r3_p0.3_mu+0.0,distal_omission,3,0.3,0.0,clDice,85,0.8486727353051785,0.835739719044925,0.8584971921656313,0.053198454008614164,0.8542056074766355,0.4470588235294118,False,0.8401814478960461,0.8486727353051785,0.885192956890059,4.206391131600386,2.9647058823529413
grid,boundary_drift_r1_p0.5_mu-1.0,boundary_drift,1,0.5,-1.0,NSD@0.5,85,0.8424772917292741,0.8400180363856762,0.8452253862713671,0.012209793786399747,0.8398791180269867,0.24705882352941178,False,0.8350759764052653,0.936866477014718,0.8424772917292741,0.4900275735294118,184.72941176470587
grid,boundary_drift_r1_p0.5_mu-0.5,boundary_drift,1,0.5,-0.5,NSD@0.5,85,0.8869158002725868,0.8849930649897536,0.889099967611092,0.009656726153762273,0.8852903124972866,0.8941176470588236,True,0.8827050237335861,0.9616178060026688,0.8869158002725868,0.06989889705882353,122.16470588235295
grid,boundary_drift_r1_p0.5_mu+0.0,boundary_drift,1,0.5,0.0,NSD@0.5,85,0.9009060386093981,0.8989497664428439,0.9029243921426773,0.009387560958472395,0.8999512923582528,0.5058823529411764,False,0.8985669984880476,0.9784292652560829,0.9009060386093981,0.024034926470588237,65.76470588235294
grid,boundary_drift_r1_p0.5_mu+0.5,boundary_drift,1,0.5,0.5,NSD@0.5,85,0.87722683771538,0.8747694019861082,0.8797715620526162,0.01184920047254204,0.8758643154325649,1.0,True,0.8754615194336943,0.9860851493540229,0.87722683771538,0.19921875,28.03529411764706
grid,boundary_drift_r1_p0.5_mu+1.0,boundary_drift,1,0.5,1.0,NSD@0.5,85,0.8262878127345329,0.8230993056574772,0.8297839136022623,0.015815719933364832,0.8215027530381871,0.11764705882352941,False,0.8223275892407613,0.9869904415746846,0.8262878127345329,0.6392922794117647,9.564705882352941
