metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.1,-0.11975213673617852,-0.05409165062871905,False,0.06566048610745948,0.02537530906167792,0.12699224793530242,0.28299105126860896,0.01059524645748403,85
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.29807813460990823,True,0.4178302713460867,0.3146739951317219,0.5641417505524722,0.7206106038437817,3.056786450672828e-11,85
hd95,M0_vs_M1_Omission,0.5,-0.11975213673617852,1.0831504435851171,True,1.2029025803212956,1.002420770084282,1.4429910325982171,1.1508471099944244,1.1279225823685848e-14,85
hd95,M0_vs_M2_Drift_mu0,0.1,-0.07814100337302454,0.0023948486888297747,True,0.08053585206185432,0.04091016254709129,0.14731770746134334,0.33760044292769104,0.0002702607257632838,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.367501597894477,True,0.4456426012675016,0.3369568534196509,0.6008295113040413,0.7307080028925754,5.5417203943673925e-12,85
hd95,M0_vs_M2_Drift_mu0,0.5,-0.07814100337302454,1.1533593558460296,True,1.2315003592190539,1.0255588987890174,1.4726634872658408,1.1715686587448102,8.703523305178522e-15,85
nsd,M0_vs_M1_Omission,0.1,0.006568710268010682,0.0027594447065688093,False,-0.003809265561441873,-0.004261019905418453,-0.0034103530299132404,-1.9031410685252652,1.1690041365809683e-15,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.004953645994200299,True,-0.011522356262210981,-0.012296146038092117,-0.010737035579772933,-3.135565622450993,1.1690041365809683e-15,85
nsd,M0_vs_M1_Omission,0.5,0.006568710268010682,-0.013750729964196058,True,-0.020319440232206745,-0.02158392539419575,-0.01913760829021098,-3.5341156311546347,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.1,0.006731902508035813,0.0029246474050259883,False,-0.0038072551030098245,-0.004256619332080355,-0.0034135887394631153,-1.891384285504524,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.004925736962902812,True,-0.011657639470938624,-0.012528729215645051,-0.01081248501299773,-2.8364912342126316,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.5,0.006731902508035813,-0.013710206893213986,True,-0.020442109401249797,-0.0218140903282065,-0.019163872951119622,-3.2647612860306374,1.1690041365809683e-15,85
