case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,17729
PARSE_0002.nii.gz,False,True,16162
PARSE_0003.nii.gz,False,True,17783
PARSE_0004.nii.gz,False,True,22712
PARSE_0005.nii.gz,False,True,18249
PARSE_0006.nii.gz,False,True,14904
PARSE_0007.nii.gz,False,True,15787
PARSE_0008.nii.gz,False,True,18387
PARSE_0009.nii.gz,False,True,23240
PARSE_0010.nii.gz,False,True,24417
PARSE_0011.nii.gz,False,True,21523
PARSE_0012.nii.gz,False,True,12887
PARSE_0013.nii.gz,False,True,14632
PARSE_0014.nii.gz,False,True,16743
PARSE_0015.nii.gz,False,True,18007
PARSE_0016.nii.gz,False,True,20877
PARSE_0017.nii.gz,False,True,31931
PARSE_0018.nii.gz,False,True,12168
PARSE_0019.nii.gz,False,True,32442
PARSE_0020.nii.gz,False,True,23249
PARSE_0021.nii.gz,False,True,21993
PARSE_0022.nii.gz,False,True,22130
PARSE_0023.nii.gz,False,True,18121
PARSE_0024.nii.gz,False,True,29265
PARSE_0025.nii.gz,False,True,21825
PARSE_0026.nii.gz,False,True,21534
PARSE_0027.nii.gz,False,True,25927
PARSE_0028.nii.gz,False,True,14578
PARSE_0029.nii.gz,False,True,20931
PARSE_0030.nii.gz,False,True,20252
PARSE_0031.nii.gz,False,True,17430
PARSE_0032.nii.gz,False,True,33744
PARSE_0033.nii.gz,False,True,16377
PARSE_0034.nii.gz,False,True,18485
PARSE_0035.nii.gz,False,True,27190
PARSE_0036.nii.gz,False,True,15686
PARSE_0037.nii.gz,False,True,12440
PARSE_0038.nii.gz,False,True,13025
PARSE_0039.nii.gz,False,True,18019
PARSE_0040.nii.gz,False,True,26267
PARSE_0041.nii.gz,False,True,21181
PARSE_0042.nii.gz,False,True,16635
PARSE_0043.nii.gz,False,True,15931
PARSE_0044.nii.gz,False,True,18799
PARSE_0045.nii.gz,False,True,22631
PARSE_0046.nii.gz,False,True,6561
PARSE_0047.nii.gz,False,True,23193
PARSE_0048.nii.gz,False,True,18067
PARSE_0049.nii.gz,False,True,28033
PARSE_0050.nii.gz,False,True,27549
PARSE_0051.nii.gz,False,True,33411
PARSE_0052.nii.gz,False,True,23228
PARSE_0053.nii.gz,False,True,42370
PARSE_0054.nii.gz,False,True,18284
PARSE_0055.nii.gz,False,True,30222
PARSE_0056.nii.gz,False,True,41960
PARSE_0057.nii.gz,False,True,21375
PARSE_0058.nii.gz,False,True,23654
PARSE_0059.nii.gz,False,True,35345
PARSE_0060.nii.gz,False,True,20344
PARSE_0061.nii.gz,False,True,18807
PARSE_0062.nii.gz,False,True,13054
PARSE_0063.nii.gz,False,True,29854
PARSE_0064.nii.gz,False,True,31665
PARSE_0065.nii.gz,False,True,12952
PARSE_0066.nii.gz,False,True,11772
PARSE_0067.nii.gz,False,True,15072
PARSE_0068.nii.gz,False,True,18623
PARSE_0069.nii.gz,False,True,14231
PARSE_0070.nii.gz,False,True,24220
PARSE_0071.nii.gz,False,True,20634
PARSE_0072.nii.gz,False,True,28389
PARSE_0073.nii.gz,False,True,9732
PARSE_0074.nii.gz,False,True,21446
PARSE_0075.nii.gz,False,True,27288
PARSE_0076.nii.gz,False,True,29169
PARSE_0077.nii.gz,False,True,17270
PARSE_0078.nii.gz,False,True,21272
PARSE_0079.nii.gz,False,True,24035
PARSE_0080.nii.gz,False,True,20642
PARSE_0081.nii.gz,False,True,21063
PARSE_0082.nii.gz,False,True,12541
PARSE_0083.nii.gz,False,True,27789
PARSE_0084.nii.gz,False,True,23384
PARSE_0085.nii.gz,False,True,21984
