case,model,ref,hd95,nsd
PARSE_0001.nii.gz,M0_Star,GT_star,0.64453125,0.9756381318620074
PARSE_0001.nii.gz,M0_Star,p0.3,0.911504835123284,0.9278282982552342
PARSE_0001.nii.gz,M1_Omission,GT_star,0.64453125,0.9734649267580632
PARSE_0001.nii.gz,M1_Omission,p0.3,0.911504835123284,0.9352538117428497
PARSE_0001.nii.gz,M2_Drift_mu0,GT_star,0.64453125,0.9780632628376644
PARSE_0001.nii.gz,M2_Drift_mu0,p0.3,0.64453125,0.939495628599948
PARSE_0002.nii.gz,M0_Star,GT_star,0.60546875,0.985861235969923
PARSE_0002.nii.gz,M0_Star,p0.3,1.169013433296026,0.9096181589239404
PARSE_0002.nii.gz,M1_Omission,GT_star,0.60546875,0.9766870281564979
PARSE_0002.nii.gz,M1_Omission,p0.3,1.0,0.9193239611788483
PARSE_0002.nii.gz,M2_Drift_mu0,GT_star,0.60546875,0.9747710413319466
PARSE_0002.nii.gz,M2_Drift_mu0,p0.3,1.0,0.9208503061857617
PARSE_0003.nii.gz,M0_Star,GT_star,0.65625,0.9728558282784653
PARSE_0003.nii.gz,M0_Star,p0.3,0.9280776503073436,0.9300719696671107
PARSE_0003.nii.gz,M1_Omission,GT_star,0.65625,0.9702869254621815
PARSE_0003.nii.gz,M1_Omission,p0.3,0.9280776503073436,0.9353748095920212
PARSE_0003.nii.gz,M2_Drift_mu0,GT_star,0.65625,0.9673735152469153
PARSE_0003.nii.gz,M2_Drift_mu0,p0.3,0.9280776503073436,0.9320552625958963
PARSE_0004.nii.gz,M0_Star,GT_star,0.70703125,0.9654244675773019
PARSE_0004.nii.gz,M0_Star,p0.3,1.7319274678537349,0.9176604769238047
PARSE_0004.nii.gz,M1_Omission,GT_star,0.9998931827716023,0.9541669190236812
PARSE_0004.nii.gz,M1_Omission,p0.3,1.4141380332036633,0.920814179632249
PARSE_0004.nii.gz,M2_Drift_mu0,GT_star,0.9998931827716023,0.9568540758202734
PARSE_0004.nii.gz,M2_Drift_mu0,p0.3,1.4141380332036633,0.9226810976082598
PARSE_0005.nii.gz,M0_Star,GT_star,4.038178396953879,0.9526378575173057
PARSE_0005.nii.gz,M0_Star,p0.3,9.146536716765139,0.8892072631243292
PARSE_0005.nii.gz,M1_Omission,GT_star,4.518518279955174,0.9480486048997578
PARSE_0005.nii.gz,M1_Omission,p0.3,8.51671437986064,0.8972866460234836
PARSE_0005.nii.gz,M2_Drift_mu0,GT_star,2.882166679015112,0.9490756309861247
PARSE_0005.nii.gz,M2_Drift_mu0,p0.3,6.749119453922883,0.8987605378167316
