case,model,ref,hd95,nsd
PARSE_0001.nii.gz,M0_Star,GT_star,0.64453125,0.9756381318620074
PARSE_0001.nii.gz,M0_Star,p0.1,0.64453125,0.9389086873331195
PARSE_0001.nii.gz,M0_Star,p0.3,2.8824313772458225,0.8904766572908733
PARSE_0001.nii.gz,M0_Star,p0.5,5.965476851224888,0.8555951872893068
PARSE_0001.nii.gz,M1_Omission,GT_star,0.64453125,0.9734649267580632
PARSE_0001.nii.gz,M1_Omission,p0.1,0.64453125,0.943144715286462
PARSE_0001.nii.gz,M1_Omission,p0.3,1.6314662512311586,0.9028318287664678
PARSE_0001.nii.gz,M1_Omission,p0.5,3.43524873013449,0.8768098200243176
PARSE_0001.nii.gz,M2_Drift_mu0,GT_star,0.64453125,0.9780632628376644
PARSE_0001.nii.gz,M2_Drift_mu0,p0.1,0.64453125,0.9471019254656026
PARSE_0001.nii.gz,M2_Drift_mu0,p0.3,1.4412156886229113,0.9065921805517922
PARSE_0001.nii.gz,M2_Drift_mu0,p0.5,3.508334454485668,0.8778555996500089
PARSE_0002.nii.gz,M0_Star,GT_star,0.60546875,0.985861235969923
PARSE_0002.nii.gz,M0_Star,p0.1,0.60546875,0.9661808734957303
PARSE_0002.nii.gz,M0_Star,p0.3,1.0,0.9218451026927593
PARSE_0002.nii.gz,M0_Star,p0.5,2.17558838350758,0.8850004739050639
PARSE_0002.nii.gz,M1_Omission,GT_star,0.60546875,0.9766870281564979
PARSE_0002.nii.gz,M1_Omission,p0.1,0.60546875,0.9622015205054074
PARSE_0002.nii.gz,M1_Omission,p0.3,0.8562621178430849,0.9288539103911484
PARSE_0002.nii.gz,M1_Omission,p0.5,1.2109375,0.9035237407490881
PARSE_0002.nii.gz,M2_Drift_mu0,GT_star,0.60546875,0.9747710413319466
PARSE_0002.nii.gz,M2_Drift_mu0,p0.1,0.60546875,0.9607652034836501
PARSE_0002.nii.gz,M2_Drift_mu0,p0.3,0.8562621178430849,0.9296075500402444
PARSE_0002.nii.gz,M2_Drift_mu0,p0.5,1.169013433296026,0.9059061903209279
PARSE_0003.nii.gz,M0_Star,GT_star,0.65625,0.9728558282784653
PARSE_0003.nii.gz,M0_Star,p0.1,0.65625,0.9634524924096263
PARSE_0003.nii.gz,M0_Star,p0.3,0.9280776503073436,0.9354760375377963
PARSE_0003.nii.gz,M0_Star,p0.5,1.6500473478055107,0.8890557931082733
PARSE_0003.nii.gz,M1_Omission,GT_star,0.65625,0.9702869254621815
PARSE_0003.nii.gz,M1_Omission,p0.1,0.65625,0.9637521498260325
PARSE_0003.nii.gz,M1_Omission,p0.3,0.9280776503073436,0.9411419736631658
PARSE_0003.nii.gz,M1_Omission,p0.5,1.3125,0.9026529942292408
PARSE_0003.nii.gz,M2_Drift_mu0,GT_star,0.65625,0.9673735152469153
PARSE_0003.nii.gz,M2_Drift_mu0,p0.1,0.65625,0.9606537983793055
PARSE_0003.nii.gz,M2_Drift_mu0,p0.3,0.9280776503073436,0.9373985066710188
PARSE_0003.nii.gz,M2_Drift_mu0,p0.5,1.364304997058942,0.8979640059975683
PARSE_0004.nii.gz,M0_Star,GT_star,0.70703125,0.9654244675773019
PARSE_0004.nii.gz,M0_Star,p0.1,0.70703125,0.9645131013662577
PARSE_0004.nii.gz,M0_Star,p0.3,1.2247012649934523,0.932970387707337
PARSE_0004.nii.gz,M0_Star,p0.5,2.2358291269159243,0.910749233780141
PARSE_0004.nii.gz,M1_Omission,GT_star,0.9998931827716023,0.9541669190236812
PARSE_0004.nii.gz,M1_Omission,p0.1,0.9998931827716023,0.953886753078353
PARSE_0004.nii.gz,M1_Omission,p0.3,1.2247012649934523,0.929460514441638
PARSE_0004.nii.gz,M1_Omission,p0.5,1.7319274678537349,0.9157394979422956
PARSE_0004.nii.gz,M2_Drift_mu0,GT_star,0.9998931827716023,0.9568540758202734
PARSE_0004.nii.gz,M2_Drift_mu0,p0.1,0.9998931827716023,0.9563493473724826
PARSE_0004.nii.gz,M2_Drift_mu0,p0.3,1.2247012649934523,0.9317888628979162
PARSE_0004.nii.gz,M2_Drift_mu0,p0.5,1.7319274678537349,0.9170114098885701
PARSE_0005.nii.gz,M0_Star,GT_star,4.038178396953879,0.9526378575173057
PARSE_0005.nii.gz,M0_Star,p0.1,6.8596107946374225,0.9272124488515875
PARSE_0005.nii.gz,M0_Star,p0.3,9.388253164745375,0.8878168569933308
PARSE_0005.nii.gz,M0_Star,p0.5,10.986300868021743,0.8559716735761179
PARSE_0005.nii.gz,M1_Omission,GT_star,4.518518279955174,0.9480486048997578
PARSE_0005.nii.gz,M1_Omission,p0.1,6.57778168640937,0.9286221029276868
PARSE_0005.nii.gz,M1_Omission,p0.3,8.710550369760835,0.8962598041777318
PARSE_0005.nii.gz,M1_Omission,p0.5,10.130925457961164,0.8725632502216916
PARSE_0005.nii.gz,M2_Drift_mu0,GT_star,2.882166679015112,0.9490756309861247
PARSE_0005.nii.gz,M2_Drift_mu0,p0.1,4.683678455239035,0.9290008277808688
PARSE_0005.nii.gz,M2_Drift_mu0,p0.3,6.963817270474757,0.8974313855109407
PARSE_0005.nii.gz,M2_Drift_mu0,p0.5,8.529207201626729,0.872443944075505
PARSE_0006.nii.gz,M0_Star,GT_star,0.9280776503073436,0.9487532050866292
PARSE_0006.nii.gz,M0_Star,p0.1,1.19610370056279,0.9290982475053574
PARSE_0006.nii.gz,M0_Star,p0.3,3.8265621809922283,0.8761610899252416
PARSE_0006.nii.gz,M0_Star,p0.5,9.753605102729965,0.8094206039589654
PARSE_0006.nii.gz,M1_Omission,GT_star,0.9280776503073436,0.9599956576019106
PARSE_0006.nii.gz,M1_Omission,p0.1,1.0,0.9409290249183456
PARSE_0006.nii.gz,M1_Omission,p0.3,2.303614686747764,0.892071648098348
PARSE_0006.nii.gz,M1_Omission,p0.5,7.215705526835197,0.8316492177092989
PARSE_0006.nii.gz,M2_Drift_mu0,GT_star,0.9280776503073436,0.959548238793248
PARSE_0006.nii.gz,M2_Drift_mu0,p0.1,1.0,0.9407012300264398
PARSE_0006.nii.gz,M2_Drift_mu0,p0.3,2.303614686747764,0.8919281928337257
PARSE_0006.nii.gz,M2_Drift_mu0,p0.5,7.160342716134473,0.8323193646021654
PARSE_0007.nii.gz,M0_Star,GT_star,0.6796875,0.9588213943973339
PARSE_0007.nii.gz,M0_Star,p0.1,0.6796875,0.9514999665372774
PARSE_0007.nii.gz,M0_Star,p0.3,0.6796875,0.9375213103433393
PARSE_0007.nii.gz,M0_Star,p0.5,1.0,0.9139671713890096
PARSE_0007.nii.gz,M1_Omission,GT_star,0.6796875,0.9501805117114603
PARSE_0007.nii.gz,M1_Omission,p0.1,0.6796875,0.9456019542936043
PARSE_0007.nii.gz,M1_Omission,p0.3,0.6796875,0.9386285552205758
PARSE_0007.nii.gz,M1_Omission,p0.5,0.961223280675463,0.9226949645562268
PARSE_0007.nii.gz,M2_Drift_mu0,GT_star,0.6796875,0.9488647246260731
PARSE_0007.nii.gz,M2_Drift_mu0,p0.1,0.6796875,0.9443845542104798
PARSE_0007.nii.gz,M2_Drift_mu0,p0.3,0.6796875,0.9358065061220389
PARSE_0007.nii.gz,M2_Drift_mu0,p0.5,0.961223280675463,0.9205187547225404
PARSE_0008.nii.gz,M0_Star,GT_star,0.62109375,0.9696920884269651
PARSE_0008.nii.gz,M0_Star,p0.1,0.62109375,0.945779045006677
PARSE_0008.nii.gz,M0_Star,p0.3,1.0,0.918105569181882
PARSE_0008.nii.gz,M0_Star,p0.5,1.1771819936989618,0.9030549240019851
PARSE_0008.nii.gz,M1_Omission,GT_star,0.62109375,0.9644936013837949
PARSE_0008.nii.gz,M1_Omission,p0.1,0.62109375,0.9443245544224612
PARSE_0008.nii.gz,M1_Omission,p0.3,0.8783592047551645,0.9234954765963026
PARSE_0008.nii.gz,M1_Omission,p0.5,1.0,0.9121987463738904
PARSE_0008.nii.gz,M2_Drift_mu0,GT_star,0.62109375,0.9644197075772035
PARSE_0008.nii.gz,M2_Drift_mu0,p0.1,0.62109375,0.9440712688180126
PARSE_0008.nii.gz,M2_Drift_mu0,p0.3,0.8783592047551645,0.9252972201976505
PARSE_0008.nii.gz,M2_Drift_mu0,p0.5,1.0,0.9147228270913518
PARSE_0009.nii.gz,M0_Star,GT_star,1.2839921589549574,0.9286115481756739
PARSE_0009.nii.gz,M0_Star,p0.1,1.2881981003336114,0.9228595203646368
PARSE_0009.nii.gz,M0_Star,p0.3,2.3766858993686593,0.882773541491609
PARSE_0009.nii.gz,M0_Star,p0.5,3.948992714228687,0.8427361729388767
PARSE_0009.nii.gz,M1_Omission,GT_star,1.2881981003336114,0.9232985589735929
PARSE_0009.nii.gz,M1_Omission,p0.1,1.5227963394381567,0.9197738053251647
PARSE_0009.nii.gz,M1_Omission,p0.3,2.080799647455651,0.8880291041079582
PARSE_0009.nii.gz,M1_Omission,p0.5,2.927952611320857,0.859165935452327
PARSE_0009.nii.gz,M2_Drift_mu0,GT_star,1.5227963394381567,0.921683609574963
PARSE_0009.nii.gz,M2_Drift_mu0,p0.1,1.5227963394381567,0.9174436222833275
PARSE_0009.nii.gz,M2_Drift_mu0,p0.3,2.296875,0.8853856847958883
PARSE_0009.nii.gz,M2_Drift_mu0,p0.5,2.8786200247810254,0.8615163572060124
PARSE_0010.nii.gz,M0_Star,GT_star,0.58984375,0.9601980855381814
PARSE_0010.nii.gz,M0_Star,p0.1,0.8341650309310052,0.9545532948343786
PARSE_0010.nii.gz,M0_Star,p0.3,1.546500112400982,0.9088013308053843
PARSE_0010.nii.gz,M0_Star,p0.5,3.5817777820627184,0.8627959866220736
PARSE_0010.nii.gz,M1_Omission,GT_star,0.8341650309310052,0.9547382088789937
PARSE_0010.nii.gz,M1_Omission,p0.1,0.8341650309310052,0.9498781319366867
PARSE_0010.nii.gz,M1_Omission,p0.3,1.3022408758859187,0.913958154637912
PARSE_0010.nii.gz,M1_Omission,p0.5,2.116401779941754,0.8792144026186579
PARSE_0010.nii.gz,M2_Drift_mu0,GT_star,0.8341650309310052,0.9548300472961422
PARSE_0010.nii.gz,M2_Drift_mu0,p0.1,0.8341650309310052,0.9497028351857505
PARSE_0010.nii.gz,M2_Drift_mu0,p0.3,1.3189307211033916,0.913686156970774
PARSE_0010.nii.gz,M2_Drift_mu0,p0.5,2.3500858372371876,0.8769243681358209
PARSE_0011.nii.gz,M0_Star,GT_star,0.650390625,0.9779565373994478
PARSE_0011.nii.gz,M0_Star,p0.1,0.650390625,0.9426913296171922
