metric,pair,fold,n,delta_star,delta_ref,sign_flip,interaction_mean,d,frac_cases_same_sign,p_raw
hd95,M0_vs_M1_Omission,0,17,-0.08849042741988701,0.4059179310505065,True,0.4944083584703935,0.81052148440547,0.7058823529411765,0.004285695299481487
hd95,M0_vs_M1_Omission,1,17,-0.22558218676237896,0.0553990693633499,True,0.2809812561257289,0.6773417136819213,0.5882352941176471,0.004439092656792155
hd95,M0_vs_M1_Omission,2,17,-0.18330424559175812,0.1318415769150868,True,0.31514582250684486,0.7906454804473048,0.8235294117647058,0.0008052762369668133
hd95,M0_vs_M1_Omission,3,17,-0.09069609442228439,0.4617416644987782,True,0.5524377589210625,0.7240731032227943,0.8235294117647058,0.0019187660162923675
hd95,M0_vs_M1_Omission,4,17,-0.010687729484584133,0.4354904312218197,True,0.44617816070640387,0.6864564641975798,0.8823529411764706,0.0020904541015625
hd95,M0_vs_M1_Omission,pooled,85,-0.11975213673617852,0.29807813460990823,True,0.4178302713460867,0.7206106038437817,0.7647058823529411,3.056786450672828e-11
hd95,M0_vs_M2_Drift_mu0,0,17,0.021426320973738644,0.5169041358906691,False,0.4954778149169304,0.8289359416590573,0.7058823529411765,0.0018714329102470315
hd95,M0_vs_M2_Drift_mu0,1,17,-0.0848368023904117,0.17177656130820765,True,0.25661336369861937,0.6047861690005293,0.5294117647058824,0.009344113002204883
hd95,M0_vs_M2_Drift_mu0,2,17,-0.23837709366251889,0.12074176470211706,True,0.359118858364636,0.8338427298934636,0.8823529411764706,0.0011233790034369743
hd95,M0_vs_M2_Drift_mu0,3,17,-0.0641949398079708,0.5579543405640836,True,0.6221492803720543,0.7677637754110745,0.8235294117647058,0.0008052762369668133
hd95,M0_vs_M2_Drift_mu0,4,17,-0.02472250197795992,0.470131187007308,True,0.49485368898526794,0.7076112712226291,0.7647058823529411,0.0016091949935643371
hd95,M0_vs_M2_Drift_mu0,pooled,85,-0.07814100337302454,0.367501597894477,True,0.4456426012675016,0.7307080028925754,0.7411764705882353,5.5417203943673925e-12
nsd,M0_vs_M1_Omission,0,17,0.007092946742400835,-0.0050050200608609315,True,-0.012097966803261766,-3.672127722466134,1.0,1.52587890625e-05
nsd,M0_vs_M1_Omission,1,17,0.006858252573280099,-0.003995850900230789,True,-0.010854103473510887,-3.30968913334593,1.0,1.52587890625e-05
nsd,M0_vs_M1_Omission,2,17,0.010892883548863908,-0.0014560861222425465,True,-0.012348969671106455,-3.1255958502616727,1.0,1.52587890625e-05
nsd,M0_vs_M1_Omission,3,17,0.004789317618429927,-0.006069503897716505,True,-0.010858821516146432,-2.6717304806681437,1.0,1.52587890625e-05
nsd,M0_vs_M1_Omission,4,17,0.0032101508570786595,-0.00824176898995079,True,-0.01145191984702945,-2.9440583252811043,1.0,1.52587890625e-05
nsd,M0_vs_M1_Omission,pooled,85,0.006568710268010686,-0.004953645994200312,True,-0.011522356262210999,-3.1355656224509874,1.0,1.1690041365809683e-15
nsd,M0_vs_M2_Drift_mu0,0,17,0.007210574162402274,-0.0040593781035639575,True,-0.011269952265966231,-3.068748703119528,1.0,1.52587890625e-05
nsd,M0_vs_M2_Drift_mu0,1,17,0.005413988484167807,-0.0038204736377795588,True,-0.009234462121947366,-2.714062404271111,1.0,1.52587890625e-05
nsd,M0_vs_M2_Drift_mu0,2,17,0.011714566138584204,-0.0016775372806432833,True,-0.013392103419227488,-3.2314288624995933,1.0,1.52587890625e-05
nsd,M0_vs_M2_Drift_mu0,3,17,0.0035334200512836013,-0.007139531795892473,True,-0.010672951847176074,-2.627507005926393,1.0,1.52587890625e-05
nsd,M0_vs_M2_Drift_mu0,4,17,0.005786963703741262,-0.007931763996634795,True,-0.013718727700376058,-3.5659554337776664,1.0,1.52587890625e-05
nsd,M0_vs_M2_Drift_mu0,pooled,85,0.00673190250803583,-0.004925736962902813,True,-0.011657639470938643,-2.8364912342126143,1.0,1.1690041365809683e-15
