family,metric,scenario,model_a,model_b,delta_median,d,ci_low,ci_high,p_raw,n,p_fdr,git_commit,seed,timestamp
inter_model_by_reference,cldice,GT_star,M0_Star,M1_Omission,0.02270596490371135,0.5494836134978673,0.016393675714976408,0.030599584832840088,1.119426291647074e-05,85,3.4401881157934465e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_star,M0_Star,M2_Drift_mu0,0.02157138905695677,0.5733693669627598,0.015689409436976165,0.027214115405429617,5.028238129003343e-06,85,1.75988334515117e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_star,M1_Omission,M2_Drift_mu0,0.0007944837137336958,0.14266112935432018,-0.001293032476492928,0.00276020949342326,0.2629096531251205,85,0.4023223531744079,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_omission,M0_Star,M1_Omission,0.008009622455863785,0.1356142815982208,0.0015742538147331953,0.014413206741386131,0.11621470423273954,85,0.20058976347020796,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_omission,M0_Star,M2_Drift_mu0,0.009063947995513133,0.18148324936863716,0.0009775251660131268,0.014004205681883986,0.0464247093233293,85,0.0957973636724647,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_omission,M1_Omission,M2_Drift_mu0,0.001893876394102434,0.23418398073065647,-0.0008000358435249488,0.002512009643200863,0.06349966779147773,85,0.12309166371886453,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_neg,M0_Star,M1_Omission,0.014297142803898155,0.3379982452503869,0.0050336220348615734,0.02074995435303606,0.00199259529426374,85,0.004737113341079835,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,0.015265037924570901,0.3806259925527681,0.009052468092214383,0.019476432392645515,0.0006467705154247032,85,0.0016298616988702523,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,0.0010710194001581907,0.22409310205409994,-0.0013230301576410142,0.0024768304049782586,0.0862608885325125,85,0.15751988340719675,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_pos,M0_Star,M1_Omission,0.02265154121819568,0.5585140005637976,0.015184558336369336,0.028904863070843945,8.426074262212916e-06,85,2.6542133925970687e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,0.02232000553426383,0.5816759428021487,0.015274559051667524,0.02761180121798923,3.826890170712829e-06,85,1.3776804614566186e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,cldice,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,0.0005731110377061865,0.139586205310703,-0.0017641353242181523,0.002596438164709669,0.3021165434515223,85,0.4375480974125495,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_star,M0_Star,M1_Omission,0.0,-0.35704301284110357,-0.19396774700466277,0.0,0.00019923432912495685,85,0.0005229901139530117,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_star,M0_Star,M2_Drift_mu0,0.0,-0.21656448760201633,-0.16337697363724163,-0.14149103881416178,0.007689574520648572,85,0.017942340548180002,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_star,M1_Omission,M2_Drift_mu0,0.0,0.1640792838299667,0.0,0.0,0.2699258622584586,85,0.4023223531744079,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_omission,M0_Star,M1_Omission,0.12164079524483551,0.39783531683795414,0.0,0.24917534611506498,0.00010215579152776591,85,0.00027386446239358525,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_omission,M0_Star,M2_Drift_mu0,0.11611652351681556,0.44731894042304104,0.0,0.24917534611506498,3.529774350557793e-05,85,0.00010343059724890278,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_omission,M1_Omission,M2_Drift_mu0,0.0,0.2177530916225175,0.0,0.0,0.08143553819251916,85,0.15089526194496197,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_neg,M0_Star,M1_Omission,0.0,-0.2599271104933489,-0.10504099047981123,-0.01094172622764189,0.0015574898967439196,85,0.003773917826725651,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,0.0,-0.07526613494350956,-0.010952004507693822,-0.010952004507693822,0.18624130588739873,85,0.3047585005430161,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,0.0,0.23447330632372682,0.0,0.0,0.022102474613949152,85,0.04836831028958131,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_pos,M0_Star,M1_Omission,-0.08573302901270619,-0.5182234943449808,-0.18550021788338888,-0.038563084867741626,8.99310841662265e-08,85,4.926659393454147e-07,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,-0.10503978009489501,-0.398716717320318,-0.18485584995579973,-0.03303881313972168,7.678657279818727e-06,85,2.546081098045157e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,hd95,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,0.0,0.1467422705634334,0.0,0.0,0.6380368304050229,85,0.7959667389211177,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_star,M0_Star,M1_Omission,0.0072459364917452085,0.6567802288964337,0.004524279492652994,0.008640882685873597,3.3508425905633457e-07,85,1.6238698708114675e-06,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_star,M0_Star,M2_Drift_mu0,0.006353465126200386,0.6344665612788003,0.0036244051452317683,0.00842243943293175,2.983730789469042e-07,85,1.5038003178923974e-06,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_star,M1_Omission,M2_Drift_mu0,0.0002114636245638124,0.0500749505524859,-0.0008530272897769864,0.0010458193224319734,0.7909350022218574,85,0.8978181106302165,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_omission,M0_Star,M1_Omission,-0.005811912665521501,-0.5338991761084055,-0.007912205150177876,-0.004152894161231546,6.190145067990248e-06,85,2.10799534747776e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_omission,M0_Star,M2_Drift_mu0,-0.0056622811476946255,-0.5094178921250463,-0.007762447347485213,-0.0033349614375440817,8.088590484354671e-06,85,2.6132369257145863e-05,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_omission,M1_Omission,M2_Drift_mu0,-3.55173094724881e-05,0.009583912406976699,-0.0007536396490960273,0.0008116704438744238,0.8591459832643851,85,0.956430710932572,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_neg,M0_Star,M1_Omission,0.0047534279634040555,0.4863351055038126,0.002713743736066032,0.007001615445100806,4.644160581262155e-05,85,0.00013003649627534033,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,0.005377287463682601,0.4777441739622077,0.0021736215123964175,0.006547814090465676,4.644160581262155e-05,85,0.00013003649627534033,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,0.00019381748076385819,0.05355981297840616,-0.0007475008168765784,0.0007452555399501959,0.7275772328359829,85,0.8648559560125834,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_pos,M0_Star,M1_Omission,0.009678999427172763,0.8324610083729681,0.006388602413053168,0.011460412920214935,9.15339816800095e-10,85,6.070148258779578e-09,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,0.008255351063802374,0.7995754120097748,0.005448878957936443,0.010280176518190798,1.669123310435548e-09,85,1.0515476855743953e-08,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,0.00026803512639439475,0.052174650005396624,-0.0007354346838390757,0.0008674477544651227,0.8729327917241729,85,0.956430710932572,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_star,M0_Star,M1_Omission,0.027627818768471868,0.7357326271622925,0.015192011030465746,0.036861578766334446,1.3741921988552687e-08,85,8.245153193131612e-08,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_star,M0_Star,M2_Drift_mu0,0.02351607776249187,0.7308156868849787,0.01850097894200675,0.035011115268855364,4.163411622117578e-08,85,2.384499383576431e-07,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_star,M1_Omission,M2_Drift_mu0,-0.0006089101293496046,0.04446790629558714,-0.0030571195792979955,0.0027416548775154315,0.7741081302864262,85,0.8948405909733,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_omission,M0_Star,M1_Omission,0.010835949573718251,0.37557501202306987,0.0006059259699293662,0.018811415301439816,0.00022281683797800535,85,0.0005729575833720137,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_omission,M0_Star,M2_Drift_mu0,0.012174872803644377,0.3614213147250978,0.004088192003869895,0.017298031574449757,0.001175762974371964,85,0.0029048261719777937,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_omission,M1_Omission,M2_Drift_mu0,0.00025585692435925456,-0.002525006865871716,-0.0032583002767696545,0.0019022954213033794,0.9947558262677381,85,1.0,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_neg,M0_Star,M1_Omission,0.01954286073921907,0.6370896508780677,0.010329138997751564,0.027446065600065572,1.5446081542856414e-07,85,8.109192809999617e-07,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,0.018303343924938598,0.6050768460199668,0.011933527016325662,0.025314371711096628,1.6199492669158365e-06,85,6.803786921046513e-06,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,-0.0009137146234815541,-0.018309918113164722,-0.0027758149244775376,0.0023699818260591865,0.7841920712659337,85,0.8978181106302165,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_pos,M0_Star,M1_Omission,0.02980382631418499,1.1084219323994302,0.02135635412019532,0.036973436510206126,4.770900268819125e-12,85,4.007556225808065e-11,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,0.026325935701875136,1.1111742588990907,0.022143272905601252,0.0368454161658871,3.609950016966134e-12,85,3.24895501526952e-11,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,nsd05,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,0.0005698986983280196,0.09676334574177768,-0.0023932433974589995,0.0028454246359297386,0.40634427477074775,85,0.5688819846790468,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_star,M0_Star,M1_Omission,-1.0,-0.13836573705830274,-8.0,1.0,0.2714079366652752,85,0.4023223531744079,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_star,M0_Star,M2_Drift_mu0,0.0,-0.08509115536383223,-4.170450972484645,1.0,0.4257742127790779,85,0.5768553850555249,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_star,M1_Omission,M2_Drift_mu0,2.0,0.055494416839296824,-1.0,4.0,0.46158384928621066,85,0.6122059474743425,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M0_Star,M1_Omission,-1.0,-0.13836573705830274,-8.0,1.0,0.2714079366652752,85,0.4023223531744079,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M0_Star,M2_Drift_mu0,0.0,-0.08509115536383223,-4.170450972484645,1.0,0.4257742127790779,85,0.5768553850555249,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M1_Omission,M2_Drift_mu0,2.0,0.055494416839296824,-1.0,4.0,0.46158384928621066,85,0.6122059474743425,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_neg,M0_Star,M1_Omission,1.0,0.0728127257442996,-5.0,4.0,0.7496983708480887,85,0.8746480993227701,c1e84f2,42,2026-09-07T15:21:00+00:00
