model,fold,case,scenario,postprocessing,cldice,hd95,nsd,nsd05,betti0,volume_delta,git_commit,seed,timestamp
M0_Star,0,PARSE_0003.nii.gz,GT_minus_drift_neg,lcc,0.8846356380745136,0.9280776503073436,0.968510513816344,0.6382038560282678,85.0,0.1529041579010258,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_minus_drift_neg,none,0.880891010076242,0.9280776503073436,0.9680392819300052,0.6379935195565043,41.0,0.155348278072078,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_minus_drift_pos,lcc,0.9107371989583104,0.65625,0.9720120457219338,0.6598090961750875,17.0,0.0406145620216096,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_minus_drift_pos,none,0.9070730470833346,0.65625,0.9719362850661842,0.659753926551239,27.0,0.0428206318183898,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_minus_omission,lcc,0.840691581062763,0.9280776503073436,0.9358312290636622,0.6613467587701902,10.0,0.1534178590834993,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_minus_omission,none,0.8376059894747362,0.9280776503073436,0.9354760375377964,0.6611179871218412,34.0,0.155863068284731,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_star,lcc,0.9192516613727983,0.65625,0.9732612870429642,0.7060360733516587,0.0,0.1054170123977128,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0003.nii.gz,GT_star,none,0.9157147709069672,0.65625,0.9728558282784652,0.705710905369115,44.0,0.1077604613296208,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_drift_neg,lcc,0.8854709476262043,4.859400120513848,0.9429775027590146,0.6583073177225355,108.0,0.2742999429805977,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_drift_neg,none,0.8832070330749271,4.518518279955174,0.9459295546662452,0.6604111233070954,42.0,0.2811161155662968,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_drift_pos,lcc,0.9101324072281948,4.038178396953879,0.95113218731476,0.6786642955937562,20.0,0.1038712688680741,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_drift_pos,none,0.90902947097254,3.523777439948366,0.95451328268768,0.6805313075071958,46.0,0.1097758262075341,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_omission,lcc,0.7996102491138584,9.584231746412714,0.884505863776839,0.6590822188333626,12.0,0.3226281097633811,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_minus_omission,none,0.7989856271018864,9.388253164745375,0.8878168569933308,0.6613795663862088,54.0,0.3297027875207679,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_star,lcc,0.9233456785171824,4.484431143485655,0.9497499948131704,0.7392020581339862,0.0,0.1938728000744948,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0005.nii.gz,GT_star,none,0.9216992697617398,4.038178396953879,0.9526378575173056,0.7409034058309014,66.0,0.2002587715214099,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_drift_neg,lcc,0.8464026542504709,0.961223280675463,0.948127935017134,0.6702711850065575,73.0,-0.015263122497885,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_drift_neg,none,0.8490922516897292,0.6796875,0.9540882830304508,0.6722898253344882,30.0,-0.0099748328383673,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_drift_pos,lcc,0.8637490214746981,1.0,0.9456832790782808,0.6451798289292926,14.0,-0.1092814994348943,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_drift_pos,none,0.8669427342645579,0.961223280675463,0.95231758531211,0.6471704833211351,29.0,-0.1044981125792828,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_omission,lcc,0.8146072586541115,0.6796875,0.930402755397652,0.7020443973436299,11.0,-0.0144956799897977,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_minus_omission,none,0.8188084085808764,0.6796875,0.9375213103433392,0.7038908910421028,32.0,-0.0092032689671296,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_star,lcc,0.8741645868691553,0.6796875,0.9518879668049792,0.7261161825726141,0.0,-0.0545102943875366,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0007.nii.gz,GT_star,none,0.8778773898446248,0.6796875,0.958821394397334,0.7277444154815719,43.0,-0.0494327721096527,c1e84f2,42.0,2026-09-07T15:44:40+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_drift_neg,lcc,0.7278472930435761,1.1751256997258845,0.932271411574592,0.5670626675900768,72.0,0.311454097591492,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_drift_neg,none,0.7158320112048189,1.1751256997258845,0.930000220346826,0.5653570720313774,7.0,0.31961604629340007,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_drift_pos,lcc,0.7597103290379138,0.8728349330271447,0.9427546724474166,0.6289495049256342,17.0,0.1819943793003198,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_drift_pos,none,0.7492145691671027,1.0,0.9413549333588234,0.6274037162793984,62.0,0.18935062417958048,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_omission,lcc,0.6617062769701434,3.2439189653729406,0.8772884370330305,0.5662305992794345,8.0,0.33562629103307534,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_minus_omission,none,0.6521566483008302,3.4708344665989546,0.8754236324348914,0.564867508245195,71.0,0.34393867748438317,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_star,lcc,0.7625067434202628,1.0,0.9406046572589454,0.6217397002927171,0.0,0.26282549050059534,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0014.nii.gz,GT_star,none,0.7517472766480084,1.0,0.9385867891547713,0.6200569934028184,79.0,0.2706847948345075,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_drift_neg,lcc,0.8777239919373636,0.8894077482112043,0.9725975114212907,0.6010927707247641,78.0,-0.09254345645996992,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_drift_neg,none,0.8732835401294521,0.8894077482112043,0.9719628300713622,0.6001494555141669,2.0,-0.08685807705164633,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_drift_pos,lcc,0.887926177006412,1.0,0.9700944933726185,0.5557366388619048,16.0,-0.18545294288634467,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_drift_pos,none,0.8847903853177533,1.0,0.970429284933118,0.555103496172278,64.0,-0.18034965821823398,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_omission,lcc,0.8527066779261584,0.8894077482112043,0.956401841936551,0.6095018398873526,10.0,-0.09433863909443246,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_minus_omission,none,0.8480745190932152,0.8894077482112043,0.9553080752099753,0.6083245328469065,70.0,-0.08866450683007056,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_star,lcc,0.8974096978136646,0.8894077482112043,0.9743312648627351,0.6227362911055764,0.0,-0.12983289133303783,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0021.nii.gz,GT_star,none,0.8942182638426498,0.8894077482112043,0.9737739496291986,0.6217937779220016,80.0,-0.1243811369800236,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_minus_drift_neg,lcc,0.8896450567235635,1.1710413701594833,0.9511219395579382,0.5504332367759147,98.0,-0.18333203490183858,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_minus_drift_neg,none,0.8943218543931444,1.1710413701594833,0.9571829531563589,0.5535187776970716,11.0,-0.1791770541186247,c1e84f2,42.0,2026-09-07T16:52:52+00:00
