case,vox,cov_M0,cov_M1,cov_M2
PARSE_0001.nii.gz,23546,0.9676378153401851,0.8984965599252527,0.8996007814490784
PARSE_0002.nii.gz,22014,0.8391932406650313,0.6676660307077315,0.632642863632234
PARSE_0003.nii.gz,11987,0.8465837991157087,0.7757570701593393,0.7865187286226746
PARSE_0004.nii.gz,11956,0.6685346269655403,0.5420709267313483,0.5381398461023754
PARSE_0005.nii.gz,19863,0.8329054020037255,0.690932890298545,0.6946584101092483
PARSE_0006.nii.gz,13898,0.9269679090516622,0.9127212548568139,0.910274859692042
PARSE_0007.nii.gz,11947,0.6253452749644263,0.46153846153846156,0.4756842722022265
PARSE_0008.nii.gz,20959,0.7883486807576697,0.682904718736581,0.6459754759291951
PARSE_0009.nii.gz,15560,0.8947943444730078,0.7559125964010283,0.7516709511568124
PARSE_0010.nii.gz,17897,0.8676314466111639,0.7748225959658043,0.7891266692741801
PARSE_0011.nii.gz,25660,0.6887373343725643,0.5758378799688231,0.5531566640685892
PARSE_0012.nii.gz,9394,0.8772620821801149,0.8585267191824569,0.8358526719182456
PARSE_0013.nii.gz,19399,0.6633847105520904,0.5371410897468941,0.5330687148822104
PARSE_0014.nii.gz,11582,0.9015714039026075,0.8709203937143843,0.8763598687618719
PARSE_0015.nii.gz,18725,0.8212550066755674,0.7541789052069426,0.6919626168224299
PARSE_0016.nii.gz,21383,0.7711733620165552,0.6506102979002011,0.6377496141794884
PARSE_0017.nii.gz,32295,0.6330082056045827,0.45644836662021987,0.4309645455952934
PARSE_0018.nii.gz,14875,0.970890756302521,0.9690756302521009,0.968
PARSE_0019.nii.gz,24912,0.8695809248554913,0.7889370584457289,0.8114161849710982
PARSE_0020.nii.gz,18629,0.9111063395780772,0.7685329325245585,0.738579633904128
PARSE_0021.nii.gz,15650,0.5256230031948882,0.37859424920127793,0.3876038338658147
PARSE_0022.nii.gz,21966,0.5363288718929254,0.3845488482199763,0.38819084038969315
PARSE_0023.nii.gz,17744,0.41997294860234446,0.32050270513976553,0.3378606853020739
PARSE_0024.nii.gz,35021,0.7928385825647468,0.7064047285914166,0.6919277005225436
PARSE_0025.nii.gz,26794,0.620288124206912,0.4785772934239009,0.4641710830783011
PARSE_0026.nii.gz,19657,0.7830289464312967,0.7141476318868596,0.7381594342982144
PARSE_0027.nii.gz,35175,0.4303909026297086,0.2859417199715707,0.29216773276474767
PARSE_0028.nii.gz,14734,0.8777657119587349,0.8202117551242025,0.8182435183928329
PARSE_0029.nii.gz,26611,0.7794896847168464,0.5869377325166285,0.6442448611476457
PARSE_0030.nii.gz,21745,0.9590710508162796,0.8967118877902966,0.8868245573695103
PARSE_0031.nii.gz,17623,0.6714520796686149,0.5426431368098508,0.5791862906429098
PARSE_0032.nii.gz,28960,0.41035911602209946,0.3010013812154696,0.30880524861878456
PARSE_0033.nii.gz,16622,0.5312236794609554,0.4051858982071953,0.37287931656840334
PARSE_0034.nii.gz,21861,0.8233383651251086,0.7162526874342436,0.7317140112529161
PARSE_0035.nii.gz,22388,0.823030194747186,0.7035018760050027,0.6645524388065035
PARSE_0036.nii.gz,16162,0.8260116322237346,0.6588912263333746,0.668729117683455
PARSE_0037.nii.gz,15784,0.8414216928535225,0.7949189052204765,0.738659401926001
PARSE_0038.nii.gz,15551,0.9376245900585172,0.8823869847598225,0.891968362163205
PARSE_0039.nii.gz,22195,0.9346249155215138,0.9045731020500113,0.8935796350529398
PARSE_0040.nii.gz,17721,0.8216804920715535,0.7346650866203939,0.7360194119970657
PARSE_0041.nii.gz,22789,0.6627320198341305,0.5439027601035588,0.5643512220808284
PARSE_0042.nii.gz,19660,0.7666327568667345,0.5625635808748728,0.5738555442522889
PARSE_0043.nii.gz,17347,0.8889145097134952,0.7210468668934109,0.7441632558943909
PARSE_0044.nii.gz,18720,0.6788461538461539,0.5544337606837607,0.4908119658119658
PARSE_0045.nii.gz,14908,0.8804668634290314,0.8069492889723638,0.7939361416689026
PARSE_0046.nii.gz,10341,0.8401508558166522,0.7477033168939174,0.7449956483899043
PARSE_0047.nii.gz,29517,0.92783819493851,0.8412779076464411,0.8136667005454484
PARSE_0048.nii.gz,12848,0.9493306351183064,0.8957814445828145,0.8906444582814446
PARSE_0049.nii.gz,17665,0.6514576846872346,0.5511463345598642,0.5264647608264931
PARSE_0050.nii.gz,29867,0.4229082264706867,0.3097398466534972,0.30598988850570863
PARSE_0051.nii.gz,36145,0.6118688615299488,0.457269331857795,0.4231567298381519
PARSE_0052.nii.gz,28816,0.5824194891726818,0.45398389783453635,0.4491254858411993
PARSE_0053.nii.gz,30632,0.3439540349960825,0.23664794985635937,0.24729041525202403
PARSE_0054.nii.gz,24222,0.8643794897200892,0.7920485509041367,0.7639336140698538
PARSE_0055.nii.gz,27314,0.5823021161309219,0.47821629933367504,0.49070073954748483
PARSE_0056.nii.gz,39031,0.5702134201019702,0.4496682124465169,0.43291230047910634
PARSE_0057.nii.gz,24290,0.8732811856731165,0.787114038699053,0.7869905310827501
PARSE_0058.nii.gz,18999,0.5708721511658509,0.45091846939312596,0.44918153587030896
PARSE_0059.nii.gz,30772,0.6269010789028987,0.5209281164695178,0.516800987911088
PARSE_0060.nii.gz,24152,0.7699983438224578,0.6869824445180523,0.6450397482610136
PARSE_0061.nii.gz,17160,0.587995337995338,0.4483100233100233,0.48012820512820514
PARSE_0062.nii.gz,12402,0.8292210933720368,0.697468150298339,0.7128688921141751
PARSE_0063.nii.gz,24848,0.28819220862846107,0.20448325820991628,0.1957501609787508
