dilation_vox,size_lo,size_hi,n_components,n_voxels,n_unpredicted,frac_unpredicted,cases_with_ge1,vol_coverage_M0,vol_coverage_M1,vol_coverage_M2
0,1,10,29549,61815,13349,0.4517580967207012,85,0.4736714389711235,0.4503437676939254,0.438226967564507
0,10,100,3231,89552,554,0.17146394305168677,75,0.5053823476862604,0.4216432910487761,0.41426210469894587
0,100,1000,2400,989726,24,0.01,19,0.72186443520732,0.6023131654619561,0.5998205563964167
0,1000,1000000000,433,670750,2,0.004618937644341801,1,0.7845456578456951,0.6756630637346254,0.6678345136041745
1,1,10,29549,61815,1062,0.035940302548309586,82,0.9498018280352665,0.9463884170508776,0.9464207716573647
1,10,100,3231,89552,73,0.022593624264933457,38,0.8590651241736644,0.8093063248168662,0.8090606574950866
1,100,1000,2400,989726,9,0.00375,7,0.9360641227976227,0.8862311387192011,0.8862998446034559
1,1000,1000000000,433,670750,0,0.0,0,0.933811405143496,0.8942780469623556,0.8936980991427507
3,1,10,29549,61815,238,0.00805441808521439,47,0.9890641430073607,0.987834667960851,0.9881582140257219
3,10,100,3231,89552,19,0.005880532342927886,14,0.9513467035912095,0.9257079685545828,0.9264449705199214
3,100,1000,2400,989726,3,0.00125,2,0.9638091754687661,0.9306798043094755,0.9302119980681522
3,1000,1000000000,433,670750,0,0.0,0,0.9607320163995527,0.9334625419306746,0.9325903838986209
