metric,scenario,rank_M0_Star,rank_M1_Omission,rank_M2_Drift_mu0,order_signature,git_commit,seed,timestamp
cldice,GT_star,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_omission,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_drift_neg,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_drift_pos,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_star,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_omission,3,2,1,M2_Drift_mu0<M1_Omission<M0_Star,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_drift_neg,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_drift_pos,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_star,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_omission,3,1,2,M1_Omission<M2_Drift_mu0<M0_Star,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_drift_neg,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_drift_pos,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_star,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_omission,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_drift_neg,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_drift_pos,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_star,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_omission,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_drift_neg,3,1,2,M1_Omission<M2_Drift_mu0<M0_Star,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_drift_pos,1,3,2,M0_Star<M2_Drift_mu0<M1_Omission,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_star,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_omission,3,1,2,M1_Omission<M2_Drift_mu0<M0_Star,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_drift_neg,3,2,1,M2_Drift_mu0<M1_Omission<M0_Star,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_drift_pos,1,2,3,M0_Star<M1_Omission<M2_Drift_mu0,c1e84f2,42,2026-09-07T15:21:00+00:00
