metric,scenario,frac_order_differs_from_star,kendall_tau,tau_ci_low,tau_ci_high,n,n_star,git_commit,seed,timestamp
cldice,GT_star,0.0954,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_omission,0.1206,1.0,-0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_drift_neg,0.0208,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
cldice,GT_minus_drift_pos,0.0948,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_star,0.07,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_omission,0.9999,-0.33333333333333337,-1.0,-0.33333333333333337,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_drift_neg,0.2439,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
hd95,GT_minus_drift_pos,0.0755,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_star,0.3187,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_omission,1.0,-0.33333333333333337,-1.0,-0.33333333333333337,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_drift_neg,0.321,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd,GT_minus_drift_pos,0.3181,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_star,0.3406,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_omission,0.5028,0.33333333333333337,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_drift_neg,0.5656,0.33333333333333337,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
nsd05,GT_minus_drift_pos,0.1849,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_star,0.5016,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_omission,0.4958,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_drift_neg,0.9354,-1.0,-1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
betti0,GT_minus_drift_pos,0.5498,1.0,0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_star,0.276,1.0,1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_omission,0.9908,-0.33333333333333337,-1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_drift_neg,0.7484,-1.0,-1.0,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
volume_delta_abs,GT_minus_drift_pos,0.0128,1.0,-0.33333333333333337,1.0,85,85,c1e84f2,42,2026-09-07T15:21:00+00:00
