case,scenario,cldice_ref_vs_star,nsd05_ref_vs_star,nsd_ref_vs_star,hd95_ref_vs_star,betti0_ref_vs_star,dV_ref_vs_star,git_commit,seed,timestamp
PARSE_0001.nii.gz,GT_minus_drift_neg,0.9595901096422964,0.8765974028950958,0.996546362410364,0.0,97.0,-0.04559976435401278,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0001.nii.gz,GT_minus_drift_pos,0.9869202254408728,0.8704614980121015,0.9996269359360177,0.0,21.0,0.0764716545067295,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0001.nii.gz,GT_minus_omission,0.832123593260971,0.9009855025248412,0.9295447141228214,0.0,17.0,-0.08891859639582483,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0002.nii.gz,GT_minus_drift_neg,0.9599852750038895,0.8801324300766137,0.9974041564081783,0.0,106.0,-0.04319411861179843,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0002.nii.gz,GT_minus_drift_pos,0.984077800188445,0.866515212637211,0.9996249035719088,0.0,31.0,0.07466895799314029,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0002.nii.gz,GT_minus_omission,0.8470504281636537,0.9085921362859798,0.9284928760708213,0.0,11.0,-0.07848743930005206,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0003.nii.gz,GT_minus_drift_neg,0.9623670040045655,0.8862196863909351,0.9972952318458442,0.0,85.0,-0.04118915278245503,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0003.nii.gz,GT_minus_drift_pos,0.9841348479680843,0.8741928384110061,0.9996232313322316,0.0,17.0,0.062273249617236674,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0003.nii.gz,GT_minus_omission,0.9150171364621948,0.9479876945201394,0.9671567886456209,0.0,10.0,-0.04161618125449161,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0004.nii.gz,GT_minus_drift_neg,0.9619993220062646,0.8950584851920471,0.9978338817760326,0.0,80.0,-0.04417646497950007,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0004.nii.gz,GT_minus_drift_pos,0.9816585933773723,0.876406422250533,0.9994466535407739,0.70703125,18.0,0.08382638543877874,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0004.nii.gz,GT_minus_omission,0.9169456400446357,0.9406762348626294,0.9604872463644181,0.0,7.0,-0.05999929743211438,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0005.nii.gz,GT_minus_drift_neg,0.958848720005538,0.8831708402796568,0.9969799858600494,0.67578125,108.0,-0.06311476614994045,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0005.nii.gz,GT_minus_drift_pos,0.9860578320524178,0.8740508994645328,0.9996751098008544,0.67578125,20.0,0.08153263314725961,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0005.nii.gz,GT_minus_omission,0.8648859426788847,0.9060403912848528,0.930239474382555,0.67578125,12.0,-0.09734808200312682,c1e84f2,42.0,2026-09-07T15:42:08+00:00
PARSE_0006.nii.gz,GT_minus_drift_neg,0.9634826954100829,0.874344964861681,0.9975118820327415,0.0,80.0,-0.03856683386300111,c1e84f2,42.0,2026-09-07T15:42:08+00:00
